indelsubtype	MLH1	MSH2	MSH6	PMS2
[->1]Rep	0.0243938280675974	0.0215725806451613	0.0103607770582794	0.0106779240129128
[-C]Rep=2	0.00102865540044085	0.00201612903225806	0.00185013876040703	0.00248323814253787
[-C]Rep=3	0.00220426157237326	0.0032258064516129	0.000555041628122109	0.000744971442761361
[-C]Rep=4	0.00455547391623806	0.00584677419354839	0.00148011100832562	0.000993295257015148
[-C]Rep=5	0.0136664217487142	0.0145161290322581	0.00481036077705828	0.00322820958529923
[-C]Rep=6	0.017634092578986	0.0181451612903226	0.00684551341350601	0.00471815247082195
[-C]Rep=7	0.0148420279206466	0.017741935483871	0.0101757631822387	0.00297988577104544
[-C]Rep=8	0.00617193240264511	0.00584677419354839	0.00388529139685476	0.0037248572138068
[-C]Rep=9	0.000587803085966201	0.000201612903225806	0.000185013876040703	0.000496647628507574
[-T]Rep=2	0.00249816311535636	0.00383064516129032	0.00185013876040703	0.000248323814253787
[-T]Rep=3	0.00279206465833946	0.00181451612903226	0.00222016651248844	0.0019865905140303
[-T]Rep=4	0.0152828802351212	0.0173387096774194	0.011840888066605	0.00968462875589769
[-T]Rep=5	0.0464364437913299	0.0526209677419355	0.0394079555966697	0.0330270672957537
[-T]Rep=6	0.069948567229978	0.0752016129032258	0.0671600370027752	0.0481748199652347
[-T]Rep=7	0.1478324761205	0.164112903225806	0.147641073080481	0.087409982617333
[-T]Rep=8	0.211315209404849	0.21008064516129	0.226641998149861	0.120188726098833
[-T]Rep=9	0.239235855988244	0.240524193548387	0.269195189639223	0.163893717407499
[+>1]Rep	0.0138133725202057	0.0094758064516129	0.0127659574468085	0.0305438291532158
[+C]Rep=2	0.00014695077149155	0	0.000185013876040703	0.000496647628507574
[+C]Rep=3	0.000881704628949302	0.000604838709677419	0.000370027752081406	0.00148994288552272
[+C]Rep=4	0.00161645848640705	0.00161290322580645	0.00333024976873265	0.0109262478271666
[+C]Rep=5	0.00132255694342395	0.00201612903225806	0.00185013876040703	0.00844300968462876
[+C]Rep=6	0.00396767083027186	0.00181451612903226	0.00314523589269195	0.0104296001986591
[+C]Rep=7	0.00411462160176341	0.00443548387096774	0.00666049953746531	0.0146511050409734
[+C]Rep=8	0.00102865540044085	0.00100806451612903	0.00370027752081406	0.00645641917059846
[+C]Rep=9	0.00014695077149155	0	0.000740055504162812	0.000744971442761361
[+T]Rep=2	0.00352681851579721	0.00282258064516129	0.00222016651248844	0.0106779240129128
[+T]Rep=3	0.0020573108008817	0.00201612903225806	0.00111008325624422	0.00620809535634467
[+T]Rep=4	0.00411462160176341	0.00282258064516129	0.00425531914893617	0.00893965731313633
[+T]Rep=5	0.00896399706098457	0.00766129032258064	0.00906567992599445	0.0225974670970946
[+T]Rep=6	0.0257163850110213	0.01875	0.0277520814061055	0.0700273156195679
[+T]Rep=7	0.0355620867009552	0.0304435483870968	0.0449583718778908	0.092128135088155
[+T]Rep=8	0.045113886847906	0.0342741935483871	0.0453283996299722	0.114228954556742
[+T]Rep=9	0.0274797942689199	0.0256048387096774	0.0264569842738205	0.0963496399304693
